name,model,segment,year,selling_price_lakh,km_driven,fuel,seller_type,transmission,owner,mileage_kmpl,engine_cc,max_power_bhp,seats
Suzuki S-Presso,S-Presso,Hatchback,2013,1.2,144333,Petrol,Individual,Manual,First Owner,20.1,1019.0,63.5,5.0
Suzuki Ciaz,Ciaz,Sedan,2010,1.29,190068,Petrol,Trustmark Dealer,Manual,First Owner,21.3,1176.0,89.1,5.0
Suzuki Fronx,Fronx,Compact SUV,2020,4.26,50125,Petrol,Individual,Manual,First Owner,19.5,1448.0,101.8,5.0
Suzuki Ignis,Ignis,Hatchback,2017,2.38,67621,Petrol,Dealer,Automatic,First Owner,21.3,1034.0,66.6,5.0
Suzuki Swift,Swift,Hatchback,2021,4.59,44908,Petrol,Individual,Automatic,First Owner,20.5,1001.0,70.6,5.0
Suzuki Alto K10,Alto K10,Hatchback,2020,2.73,33426,Petrol,Individual,Manual,First Owner,20.7,1008.0,64.0,5.0
Suzuki Swift,Swift,Hatchback,2018,2.19,109263,CNG,Individual,Manual,First Owner,32.0,983.0,67.3,5.0
Suzuki Celerio,Celerio,Hatchback,2017,1.52,81673,CNG,Dealer,Manual,Fourth & Above Owner,,972.0,70.3,5.0
Suzuki Dzire,Dzire,Sedan,2021,3.79,41454,Petrol,Dealer,Manual,Second Owner,23.0,1197.0,87.5,5.0
Suzuki Swift,Swift,Hatchback,2023,5.76,14858,Petrol,Dealer,Automatic,Second Owner,21.6,988.0,66.1,5.0
Suzuki Swift,Swift,Hatchback,2019,3.59,60522,CNG,Dealer,Automatic,First Owner,30.8 kmpl,1004.0,67.6,5.0
Suzuki Alto K10,Alto K10,Hatchback,2018,1.8,69826,Petrol,Trustmark Dealer,Manual,First Owner,21.6,973.0,68.1,5.0
Suzuki Swift,Swift,Hatchback,2014,1.73,111090,CNG,Dealer,Manual,First Owner,32.3 kmpl,991.0,66.9,5.0
Suzuki WagonR,WagonR,Hatchback,2021,2.99,48362,Petrol,Individual,Automatic,Fourth & Above Owner,21.4,998.0,69.1,5.0
Suzuki Grand Vitara,Grand Vitara,SUV,2019,5.68,30206,Petrol,Individual,Manual,Second Owner,17.3,1484.0,102.4,5.0
Suzuki Alto K10,Alto K10,Hatchback,2019,2.17,59199,Petrol,Individual,Automatic,First Owner,19.6 kmpl,985.0,71.7,5.0
Suzuki WagonR,WagonR,Hatchback,2023,4.58,15135,CNG,Dealer,Manual,Second Owner,28.1,1002.0,64.5,5.0
Suzuki Celerio,Celerio,Hatchback,2023,5.12,16771,Petrol,Individual,Manual,First Owner,21.6 kmpl,965.0,63.0,5.0
Suzuki Swift,Swift,Hatchback,2023,6.32,5118,CNG,Individual,Automatic,First Owner,31.4 kmpl,992.0,66.8,5.0
Suzuki Grand Vitara,Grand Vitara,SUV,2010,1.32,179442,Petrol,Trustmark Dealer,Manual,Fourth & Above Owner,17.1,1459.0,96.7,4.0
Suzuki Dzire,Dzire,Sedan,2020,4.21,30703,Petrol,Individual,Manual,First Owner,19.7,1197.0,82.2,5.0
Suzuki Vitara Brezza,Vitara Brezza,Compact SUV,2015,2.59,88359,Petrol,Dealer,Automatic,Second Owner,20.7,1485.0,105.3,5.0
Suzuki Ertiga,Ertiga,MUV,2020,4.4,63155,Petrol,Dealer,Manual,First Owner,21.7,1474.0,103.6,7.0
Suzuki WagonR,WagonR,Hatchback,2015,1.24,147076,Petrol,Dealer, Manual ,Second Owner,20.0,992.0,68.3,5.0
Suzuki Alto K10,Alto K10,Hatchback,2019,2.45,50513,Petrol,Individual,Manual,First Owner,20.3,998.0,68.4,5.0
Suzuki Jimny,Jimny,SUV,2018,5.73,66029,Petrol,Individual,Automatic,Third Owner,15.5,1462.0,102.9,5.0
Suzuki Alto K10,Alto K10,Hatchback,2014,1.2,175149,CNG,Trustmark Dealer,Manual,First Owner,29.8,991.0,71.6,5.0
Suzuki Ignis,Ignis,Hatchback,2017,1.81,116439,CNG,Trustmark Dealer, Manual ,First Owner,31.1,996.0,68.7,5.0
Suzuki Dzire,Dzire,Sedan,2013,1.2,190613,Petrol,Dealer,Manual,Fourth & Above Owner,20.7,1209.0,82.7,5.0
Suzuki Vitara Brezza,Vitara Brezza,Compact SUV,2022,6.5,24648,Petrol,Individual,Manual,First Owner,,1460.0,102.2,5.0
Suzuki Grand Vitara,Grand Vitara,SUV,2015,2.51,118039,Petrol,Individual,Manual,Third Owner,14.7 kmpl,1478.0,102.0,4.0
Suzuki Swift,Swift,Hatchback,2019,3.05,46830,Petrol,Trustmark Dealer,Manual,Third Owner,22.9,994.0,66.4,5.0
Suzuki Alto K10,Alto K10,Hatchback,2018,1.9,75865,Petrol,Individual,Manual,First Owner,21.4,1021.0,65.7,5.0
Suzuki Baleno,Baleno,Premium Hatchback,2022,4.97,21889,Petrol,Individual,Manual,Second Owner,23.1,1222.0,80.2,5.0
Suzuki Ciaz,Ciaz,Sedan,2018,5.07,59164,Petrol,Individual,Automatic,Second Owner,21.3,1188.0,82.6,5.0
Suzuki WagonR,WagonR,Hatchback,2014,1.27,127166,Petrol,Dealer,Manual,Second Owner,21.7,1003.0,65.1,5.0
Suzuki S-Presso,S-Presso,Hatchback,2014,1.2,150335,CNG,Individual,Manual,First Owner,28.0,998.0,67.8,5.0
Suzuki Swift,Swift,Hatchback,2021,3.81,54758,Petrol,Individual,Manual,First Owner,24.6,990.0,71.5,5.0
Suzuki Dzire,Dzire,Sedan,2015,1.7,110668,Petrol,Individual,Automatic,Third Owner,22.5,1215.0,80.6,5.0
Suzuki Vitara Brezza,Vitara Brezza,Compact SUV,2009,1.2,216296,Petrol,Individual,Manual,Second Owner,21.5,1464.0,101.7,5.0
Suzuki Ertiga,Ertiga,MUV,2017,3.34,75999,Petrol,Individual,Manual,First Owner,20.0 kmpl,1454.0,104.7,7.0
Suzuki XL6,XL6,MUV,2018,4.43,84384,Petrol,Individual,Automatic,Second Owner,18.5,1435.0,107.6,7.0
Suzuki WagonR,WagonR,Hatchback,2019,2.4,70719,CNG,Individual,Manual,Third Owner,29.0 kmpl,980.0,64.3,5.0
Suzuki Baleno,Baleno,Premium Hatchback,2017,2.5,117168,Petrol,Dealer,Manual,First Owner,23.0,1191.0,86.3,5.0
Suzuki Swift,Swift,Hatchback,2013,1.82,103475,Petrol,Individual,Manual,First Owner,19.7,983.0,67.9,5.0
Suzuki Grand Vitara,Grand Vitara,SUV,2023,10.53,14020,Petrol,Individual,Manual,First Owner,15.6 kmpl,1427.0,101.9,4.0
Suzuki Ertiga,Ertiga,MUV,2017,2.88,103410,Petrol,Individual,Automatic,First Owner,20.3,1473.0,102.2,6.0
Suzuki Swift,Swift,Hatchback,2020,3.54,42736,PETROL,Individual,Automatic,Second Owner,19.6,1004.0,65.9,5.0
Suzuki Dzire,Dzire,Sedan,2023,5.24,21692,Petrol,Trustmark Dealer,Manual,Third Owner,19.0,1184.0,84.5,5.0
Suzuki WagonR,WagonR,Hatchback,2023,5.62,10378,Petrol,Individual,Automatic,First Owner,21.1,1002.0,70.5,5.0
Suzuki Alto K10,Alto K10,Hatchback,2014,1.2,153261,Petrol,Dealer,Manual,Second Owner,21.7,998.0,64.9,5.0
Suzuki Alto K10,Alto K10,Hatchback,2013,1.2,169290,CNG,Individual,Manual,First Owner,32.6,999.0,62.0,5.0
Suzuki Vitara Brezza,Vitara Brezza,Compact SUV,2022,7.04,10322,CNG,Individual,Manual,First Owner,28.3,1461.0,103.4,5.0
Suzuki WagonR,WagonR,Hatchback,2018,2.68,70776,Petrol,Individual,Manual,First Owner,21.5,1003.0,64.3,5.0
Suzuki S-Presso,S-Presso,Hatchback,2019,2.96,28047,Petrol,Individual,Manual,First Owner,22.6,969.0,62.0,5.0
Suzuki Ertiga,Ertiga,MUV,2023,7.21,9356,Petrol,Individual,Manual,First Owner,18.2,1465.0,101.4,7.0
Suzuki Ciaz,Ciaz,Sedan,2017,2.42,132404,PETROL,Dealer,Manual,Second Owner,19.3,1203.0,81.2,5.0
Suzuki Swift,Swift,Hatchback,2022,5.47,15329,Petrol,Dealer,Automatic,First Owner,21.1,977.0,67.5,5.0
Suzuki Vitara Brezza,Vitara Brezza,Compact SUV,2017,3.47,81453,Petrol,Dealer,Automatic,First Owner,19.9,1456.0,109.0,5.0
Suzuki Dzire,Dzire,Sedan,2018,2.96,49874,Petrol,Individual,Manual,First Owner,24.4,1199.0,81.8,5.0
Suzuki S-Presso,S-Presso,Hatchback,2023,3.87,18039,CNG,Dealer,Manual,First Owner,30.8,985.0,66.3,5.0
Suzuki Jimny,Jimny,SUV,2015,3.61,93360,Petrol,Dealer,Automatic,Third Owner,15.3,1438.0,99.3,5.0
Suzuki Vitara Brezza,Vitara Brezza,Compact SUV,2017,4.03,70904,Petrol,Individual,Automatic,First Owner,21.2,1435.0,98.5,5.0
Suzuki Alto K10,Alto K10,Hatchback,2011,1.2,150328,Petrol,Individual,Manual,Third Owner,22.6,988.0,70.3,5.0
Suzuki WagonR,WagonR,Hatchback,2014,1.6,97106,Petrol,Dealer,Manual,First Owner,,,,
Suzuki Alto K10,Alto K10,Hatchback,2012,1.2,148611,Petrol,Trustmark Dealer,Manual,First Owner,22.3,998.0,66.3,5.0
Suzuki Celerio,Celerio,Hatchback,2015,1.88,45161,Petrol,Trustmark Dealer,Manual,Second Owner,21.7,985.0,71.9,5.0
Suzuki Dzire,Dzire,Sedan,2014,1.48,161450,Petrol,Individual,Manual,First Owner,20.6,1209.0,86.5,5.0
Suzuki Ciaz,Ciaz,Sedan,2022,7.88,18858,Petrol,Individual,Manual,First Owner,,1180.0,76.4,
Suzuki Ciaz,Ciaz,Sedan,2014,2.14,149833,Petrol,Individual,Manual,First Owner,22.2 kmpl,1166.0,79.7,5.0
Suzuki WagonR,WagonR,Hatchback,2016,2.36,60555,Petrol,Individual,Manual,First Owner,20.1,1004.0,66.7,5.0
Suzuki Vitara Brezza,Vitara Brezza,Compact SUV,2020,5.1,48945,Petrol,Individual,Manual,First Owner,20.9,1457.0,97.9,5.0
Suzuki Fronx,Fronx,Compact SUV,2020,3.92,67418,CNG,Individual,Manual,Third Owner,29.5,1454.0,107.9,5.0
Suzuki Jimny,Jimny,SUV,2011,2.67,120945,Petrol,Individual,Automatic,First Owner,17.2,1473.0,102.2,5.0
Suzuki WagonR,WagonR,Hatchback,2016,2.41,80132,CNG,Trustmark Dealer,Manual,First Owner,31.3,1008.0,68.7,5.0
Suzuki Dzire,Dzire,Sedan,2012,1.26,171478,Petrol,Individual,Manual,First Owner,20.1,1191.0,78.4,5.0
Suzuki Swift,Swift,Hatchback,2023,4.75,22464,Petrol,Trustmark Dealer,Manual,Second Owner,19.3,996.0,62.3,5.0
Suzuki Grand Vitara,Grand Vitara,SUV,2020,6.64,36548,Petrol,Individual,Manual,Second Owner,16.0,1463.0,106.7,5.0
Suzuki Vitara Brezza,Vitara Brezza,Compact SUV,2023,7.86,9910,Petrol,Dealer, Automatic ,Third Owner,19.8,1447.0,98.3,5.0
Suzuki Fronx,Fronx,Compact SUV,2014,1.63,149601,Petrol,Individual, Manual ,First Owner,20.9,1464.0,102.2,5.0
Suzuki Dzire,Dzire,Sedan,2022,4.98,19312,Petrol,Individual,Manual,First Owner,23.3,1209.0,82.4,5.0
Suzuki Grand Vitara,Grand Vitara,SUV,2017,4.15,114934,Petrol,Individual,Manual,First Owner,16.1 kmpl,1423.0,93.8,5.0
Suzuki Ciaz,Ciaz,Sedan,2023,9.97,5167,Petrol,Individual,Automatic,First Owner,22.0 kmpl,1173.0,78.0,5.0
Suzuki Swift,Swift,Hatchback,2008,1.2,179371,Petrol,Individual,Manual,Second Owner,24.6,998.0,63.8,5.0
Suzuki Vitara Brezza,Vitara Brezza,Compact SUV,2018,3.16,94783,Petrol,Individual,Manual,Second Owner,19.6,1447.0,108.3,5.0
Suzuki Ciaz,Ciaz,Sedan,2016,3.27,76196,Petrol,Individual,Manual,First Owner,21.1,1187.0,82.4,5.0
Suzuki Fronx,Fronx,Compact SUV,2023,7.07,4885,Petrol,Dealer,Automatic,Second Owner,21.5,1464.0,101.3,5.0
Suzuki Fronx,Fronx,Compact SUV,2022,5.22,42964,Petrol,Dealer,Manual,Second Owner,22.2,1456.0,101.8,5.0
Suzuki Celerio,Celerio,Hatchback,2019,2.77,72437,CNG,Individual,Manual,First Owner,31.4,988.0,67.2,5.0
Suzuki Baleno,Baleno,Premium Hatchback,2021,4.34,52104,Petrol,Dealer,Manual,First Owner,21.9,1197.0,87.2,5.0
Suzuki Dzire,Dzire,Sedan,2013,1.37,143019,Petrol,Individual,Automatic,Second Owner,21.9 kmpl,1201.0,83.2,5.0
Suzuki Baleno,Baleno,Premium Hatchback,2018,3.37,54732,Petrol,Individual,Manual,First Owner,20.5,1208.0,79.4,5.0
Suzuki Celerio,Celerio,Hatchback,2010,1.2,175527,Petrol,Individual,Manual,Second Owner,21.7 kmpl,1014.0,60.0,5.0
Suzuki S-Presso,S-Presso,Hatchback,2014,1.46,94801,Petrol,Trustmark Dealer,Manual,First Owner,23.1,992.0,73.3,5.0
Suzuki Ciaz,Ciaz,Sedan,2013,1.95,143806,Petrol,Individual, Manual ,First Owner,18.4,1227.0,80.7,5.0
Suzuki Ertiga,Ertiga,MUV,2017,3.1,118621,Petrol,Individual,Automatic,First Owner,18.1,1460.0,102.8,6.0
Suzuki S-Presso,S-Presso,Hatchback,2014,1.2,120726,Petrol,Individual,Manual,First Owner,21.7,994.0,68.2,5.0
Suzuki Vitara Brezza,Vitara Brezza,Compact SUV,2015,2.08,145431,Petrol,Trustmark Dealer,Automatic,Second Owner,21.7,1436.0,106.4,5.0
Suzuki Ciaz,Ciaz,Sedan,2014,2.32,175360,CNG,Individual,Automatic,First Owner,30.6,1191.0,86.0,5.0
Suzuki Jimny,Jimny,SUV,2021,8.54,56253,Petrol,Trustmark Dealer,Automatic,First Owner,15.7,1465.0,103.0,5.0
Suzuki WagonR,WagonR,Hatchback,2014,1.31,117132,Petrol,Dealer,Automatic,Second Owner,22.3,991.0,66.1,5.0
Suzuki Alto K10,Alto K10,Hatchback,2015,1.28,105725,CNG,Dealer,Manual,First Owner,30.3,970.0,62.6,5.0
Suzuki Dzire,Dzire,Sedan,2015,1.46,112764,CNG,Individual,Manual,Third Owner,,,,
Suzuki WagonR,WagonR,Hatchback,2020,3.71,48166,Petrol,Individual,Automatic,First Owner,22.3,982.0,71.2,5.0
Suzuki Baleno,Baleno,Premium Hatchback,2015,1.64,128457,Petrol,Trustmark Dealer,Manual,First Owner,22.6 kmpl,1177.0,81.3,5.0
Suzuki Dzire,Dzire,Sedan,2016,2.04,91108,PETROL,Individual,Manual,First Owner,20.1,1231.0,81.7,5.0
Suzuki Grand Vitara,Grand Vitara,SUV,2013,1.93,196625,Petrol,Dealer,Automatic,Fourth & Above Owner,18.9,1462.0,101.1,4.0
Suzuki Dzire,Dzire,Sedan,2015,1.38,118101,CNG,Individual,Manual,Third Owner,28.4,1201.0,81.6,5.0
Suzuki Vitara Brezza,Vitara Brezza,Compact SUV,2020,3.52,32966,Petrol,Trustmark Dealer,Manual,Fourth & Above Owner,,1440.0,101.8,
Suzuki Ignis,Ignis,Hatchback,2014,1.21,153354,Petrol,Individual,Manual,First Owner,23.5,1028.0,66.3,5.0
Suzuki Ciaz,Ciaz,Sedan,2019,4.09,90479,CNG,Dealer,Manual,First Owner,31.3 kmpl,1218.0,78.7,5.0
Suzuki Celerio,Celerio,Hatchback,2022,4.1,17473,Petrol,Dealer, Manual ,Second Owner,22.8,997.0,63.3,5.0
Suzuki XL6,XL6,MUV,2021,7.72,46618,Diesel,Dealer, Manual ,First Owner,22.4,1461.0,107.3,6.0
Suzuki Baleno,Baleno,Premium Hatchback,2017,2.29,75943,CNG,Individual,Manual,Third Owner,35.6,1204.0,83.5,5.0
Suzuki Fronx,Fronx,Compact SUV,2018,2.96,92874,Petrol,Dealer,Manual,First Owner,19.9,1439.0,101.5,5.0
Suzuki Vitara Brezza,Vitara Brezza,Compact SUV,2022,6.78,37092,Petrol,Individual,Automatic,Second Owner,21.0,1481.0,96.0,5.0
Suzuki Vitara Brezza,Vitara Brezza,Compact SUV,2017,3.26,77080,Petrol,Dealer, Manual ,First Owner,17.7,1464.0,105.1,5.0
Suzuki S-Presso,S-Presso,Hatchback,2012,1.2,143620,Petrol,Dealer,Manual,Third Owner,21.8,995.0,66.9,5.0
Suzuki Alto K10,Alto K10,Hatchback,2018,1.92,99254,Petrol,Individual,Manual,First Owner,19.8,999.0,64.0,5.0
Suzuki Alto K10,Alto K10,Hatchback,2009,1.2,159270,Petrol,Dealer,Manual,First Owner,22.7,1004.0,62.9,5.0
Suzuki Celerio,Celerio,Hatchback,2017,2.54,60599,Petrol,Individual,Manual,First Owner,23.1,975.0,75.1,5.0
Suzuki WagonR,WagonR,Hatchback,2021,3.09,36393,Petrol,Individual,Manual,Fourth & Above Owner,,1004.0,66.4,5.0
Suzuki Fronx,Fronx,Compact SUV,2021,5.06,30911,Petrol,Individual,Manual,Third Owner,19.8,1472.0,97.8,5.0
Suzuki Baleno,Baleno,Premium Hatchback,2021,4.49,50730,Petrol,Individual,Manual,Second Owner,25.2,1199.0,75.4,5.0
Suzuki Swift,Swift,Hatchback,2012,1.36,102894,Petrol,Individual,Manual,First Owner,21.6,981.0,66.7,5.0
Suzuki Alto K10,Alto K10,Hatchback,2023,4.24,500,Petrol,Individual,Manual,First Owner,22.1,1028.0,70.1,5.0
Suzuki Alto K10,Alto K10,Hatchback,2012,1.2,100376,Petrol,Individual,Manual,First Owner,22.2,991.0,65.4,5.0
Suzuki Ciaz,Ciaz,Sedan,2020,5.29,53488,Petrol,Individual,Automatic,Third Owner,22.1,1200.0,80.7,5.0
Suzuki Ignis,Ignis,Hatchback,2021,2.97,28424,Petrol,Individual,Manual,Fourth & Above Owner,20.8,998.0,71.3,5.0
Suzuki Celerio,Celerio,Hatchback,2021,3.64,44690,CNG,Individual,Manual,First Owner,29.3,998.0,67.9,5.0
Suzuki Swift,Swift,Hatchback,2021,5.0,15726,Petrol,Dealer,Automatic,First Owner,24.3 kmpl,975.0,60.9,5.0
Suzuki Ciaz,Ciaz,Sedan,2015,2.41,107759,Petrol,Individual,Manual,First Owner,,,,
Suzuki Dzire,Dzire,Sedan,2018,3.26,53204,Petrol,Trustmark Dealer,Automatic,First Owner,20.7,1176.0,80.2,5.0
Suzuki Vitara Brezza,Vitara Brezza,Compact SUV,2018,3.91,101166,Petrol,Individual,Automatic,First Owner,,1445.0,102.4,5.0
Suzuki Baleno,Baleno,Premium Hatchback,2020,4.66,35695,Petrol,Individual,Automatic,First Owner,22.6,1210.0,76.5,5.0
Suzuki Swift,Swift,Hatchback,2015,1.49,99591,Petrol,Dealer,Manual,Fourth & Above Owner,20.8 kmpl,997.0,66.9,5.0
Suzuki S-Presso,S-Presso,Hatchback,2015,1.2,148879,Petrol,Individual,Manual,Second Owner,23.3,1004.0,65.9,5.0
Suzuki Dzire,Dzire,Sedan,2018,2.74,36052,Petrol,Individual,Manual,Fourth & Above Owner,18.7,1218.0,84.8,5.0
Suzuki WagonR,WagonR,Hatchback,2020,3.75,45588,CNG,Individual,Manual,First Owner,28.9,994.0,62.7,5.0
Suzuki Vitara Brezza,Vitara Brezza,Compact SUV,2017,2.6,116968,Petrol,Individual,Automatic,First Owner,20.9,1460.0,98.3,5.0
Suzuki Celerio,Celerio,Hatchback,2014,1.3,111450,Petrol,Dealer,Manual,First Owner,21.3,998.0,68.3,5.0
Suzuki Swift,Swift,Hatchback,2014,1.23,163903,Petrol,Individual,Manual,First Owner,22.4,985.0,67.2,5.0
Suzuki Jimny,Jimny,SUV,2012,2.57,151430,Petrol,Dealer,Automatic,First Owner,17.5,1441.0,97.2,4.0
Suzuki Alto K10,Alto K10,Hatchback,2021,2.88,35393,Petrol,Dealer,Manual,First Owner,24.6 kmpl,993.0,65.6,5.0
Suzuki XL6,XL6,MUV,2017,4.2,97136,PETROL,Individual,Automatic,Second Owner,,,,
Suzuki Ciaz,Ciaz,Sedan,2015,2.59,97226,Petrol,Dealer,Manual,First Owner,21.1,1208.0,80.7,5.0
Suzuki XL6,XL6,MUV,2013,2.4,164289,Petrol,Dealer,Automatic,Second Owner,19.5,1450.0,105.6,7.0
Suzuki Dzire,Dzire,Sedan,2016,2.27,80501,Petrol,Dealer,Manual,First Owner,22.0 kmpl,1213.0,79.5,5.0
Suzuki Celerio,Celerio,Hatchback,2015,1.33,110317,Petrol,Dealer,Manual,Second Owner,23.4,996.0,70.5,5.0
Suzuki Swift,Swift,Hatchback,2023,5.87,6018,CNG,Dealer,Manual,First Owner,31.7,1006.0,67.0,5.0
Suzuki Swift,Swift,Hatchback,2022,4.31,36946,Petrol,Individual,Manual,Third Owner,20.6,972.0,67.0,5.0
Suzuki Ertiga,Ertiga,MUV,2016,2.62,74882,Petrol,Dealer,Manual,Second Owner,19.4,1447.0,100.8,7.0
Suzuki Alto K10,Alto K10,Hatchback,2020,2.44,50895,Petrol,Trustmark Dealer,Manual,Second Owner,23.4,997.0,72.2,5.0
Suzuki Vitara Brezza,Vitara Brezza,Compact SUV,2018,3.48,66384,Petrol,Individual,Automatic,Third Owner,20.7 kmpl,1452.0,102.5,5.0
Suzuki Baleno,Baleno,Premium Hatchback,2018,3.76,21092,Petrol,Trustmark Dealer,Manual,First Owner,23.8,1189.0,80.1,5.0
Suzuki Dzire,Dzire,Sedan,2017,1.65,159138,Petrol,Individual,Manual,Third Owner,21.2,1201.0,78.0,5.0
Suzuki Baleno,Baleno,Premium Hatchback,2018,3.06,67211,CNG,Individual, Manual ,First Owner,28.9,1223.0,81.6,5.0
Suzuki S-Presso,S-Presso,Hatchback,2015,1.2,138358,Petrol,Individual,Manual,Second Owner,21.3,1016.0,60.9,5.0
Suzuki Baleno,Baleno,Premium Hatchback,2012,1.31,142360,Petrol,Dealer,Manual,First Owner,20.8,1199.0,82.7,5.0
Suzuki Baleno,Baleno,Premium Hatchback,2015,2.46,69119,Petrol,Individual,Manual,First Owner,23.3,1188.0,80.3,5.0
Suzuki WagonR,WagonR,Hatchback,2015,1.46,119836,Petrol,Dealer,Manual,Second Owner,21.3,995.0,66.5,5.0
Suzuki Vitara Brezza,Vitara Brezza,Compact SUV,2023,7.2,26704,Petrol,Individual,Manual,First Owner,20.7,1469.0,102.9,5.0
Suzuki Ertiga,Ertiga,MUV,2014,1.85,173323,Petrol,Dealer,Manual,First Owner,19.7,1436.0,105.1,7.0
Suzuki Vitara Brezza,Vitara Brezza,Compact SUV,2018,3.99,58735,Petrol,Individual,Manual,First Owner,19.2 kmpl,1451.0,103.0,5.0
Suzuki WagonR,WagonR,Hatchback,2021,3.73,37553,Petrol,Individual,Manual,First Owner,23.5,988.0,66.0,5.0
Suzuki Fronx,Fronx,Compact SUV,2023,7.27,9735,Petrol,Dealer,Automatic,First Owner,22.1,1471.0,100.4,5.0
Suzuki Ertiga,Ertiga,MUV,2017,2.77,93932,Petrol,Dealer,Manual,Third Owner,20.5,1458.0,102.7,6.0
Suzuki Baleno,Baleno,Premium Hatchback,2018,2.82,98635,CNG,Individual,Manual,First Owner,28.3,1206.0,79.9,5.0
Suzuki Dzire,Dzire,Sedan,2014,1.59,109511,CNG,Individual,Manual,First Owner,27.6 kmpl,1195.0,79.5,5.0
Suzuki Baleno,Baleno,Premium Hatchback,2014,1.63,150351,Petrol,Dealer,Manual,First Owner,22.9,1207.0,80.6,5.0
Suzuki Dzire,Dzire,Sedan,2017,2.62,93403,CNG,Individual,Manual,First Owner,28.4,1176.0,77.0,5.0
Suzuki Alto K10,Alto K10,Hatchback,2023,3.73,9810,CNG,Dealer, Manual ,First Owner,30.3 kmpl,973.0,65.8,5.0
Suzuki Grand Vitara,Grand Vitara,SUV,2017,4.33,90843,Petrol,Dealer,Automatic,Third Owner,15.9,1464.0,108.8,5.0
Suzuki S-Presso,S-Presso,Hatchback,2017,1.31,104201,Petrol,Individual,Manual,Second Owner,21.2,1012.0,64.9,5.0
Suzuki Swift,Swift,Hatchback,2015,2.2,81662,Petrol,Individual,Automatic,Second Owner,23.3 kmpl,990.0,66.3,5.0
Suzuki WagonR,WagonR,Hatchback,2014,1.82,57974,Petrol,Dealer,Automatic,Second Owner,19.8,994.0,73.4,5.0
Suzuki XL6,XL6,MUV,2021,5.08,48456,Diesel,Individual,Manual,Fourth & Above Owner,22.7,1474.0,105.1,7.0
Suzuki Celerio,Celerio,Hatchback,2019,3.01,43370,CNG,Dealer,Manual,First Owner,29.7,984.0,73.3,5.0
